noise_parameter,fidelity,purity
0.000000000000000000e+00,9.999999999999997780e-01,1.000000000000000000e+00
2.000000000000000042e-02,9.801999999999998492e-01,9.611840800000002183e-01
4.000000000000000083e-02,9.607999999999996543e-01,9.246732799999999308e-01
5.999999999999999778e-02,9.417999999999997485e-01,8.903744799999999682e-01
8.000000000000000167e-02,9.231999999999997986e-01,8.581964800000000393e-01
1.000000000000000056e-01,9.049999999999999156e-01,8.280500000000001748e-01
1.199999999999999956e-01,8.871999999999998776e-01,7.998476800000001719e-01
1.400000000000000133e-01,8.697999999999997955e-01,7.735040799999999273e-01
1.600000000000000033e-01,8.527999999999997804e-01,7.489356799999999925e-01
1.799999999999999933e-01,8.361999999999998323e-01,7.260608800000001306e-01
2.000000000000000111e-01,8.199999999999998401e-01,7.048000000000000931e-01
2.200000000000000011e-01,8.041999999999998039e-01,6.850752800000000642e-01
2.399999999999999911e-01,7.887999999999998346e-01,6.668108799999999947e-01
2.600000000000000089e-01,7.737999999999998213e-01,6.499328799999999351e-01
2.800000000000000266e-01,7.591999999999997639e-01,6.343692799999999243e-01
2.999999999999999889e-01,7.449999999999997735e-01,6.200499999999999901e-01
3.200000000000000067e-01,7.311999999999998501e-01,6.069068800000000374e-01
3.400000000000000244e-01,7.177999999999997716e-01,5.948736799999999603e-01
3.599999999999999867e-01,7.047999999999998710e-01,5.838860799999999740e-01
3.800000000000000044e-01,6.921999999999998154e-01,5.738816799999999496e-01
4.000000000000000222e-01,6.799999999999998268e-01,5.647999999999999687e-01
4.199999999999999845e-01,6.681999999999999051e-01,5.565824799999999906e-01
4.400000000000000022e-01,6.567999999999999394e-01,5.491724800000000739e-01
4.600000000000000200e-01,6.457999999999999297e-01,5.425152800000000441e-01
4.799999999999999822e-01,6.351999999999998758e-01,5.365580800000000483e-01
5.000000000000000000e-01,6.249999999999998890e-01,5.312500000000000000e-01
5.200000000000000178e-01,6.151999999999998581e-01,5.265420800000000234e-01
5.400000000000000355e-01,6.057999999999998941e-01,5.223872800000000094e-01
5.600000000000000533e-01,5.967999999999997751e-01,5.187404799999999483e-01
5.799999999999999600e-01,5.881999999999999451e-01,5.155584800000000412e-01
5.999999999999999778e-01,5.799999999999998490e-01,5.128000000000000336e-01
6.199999999999999956e-01,5.721999999999999309e-01,5.104256799999999927e-01
6.400000000000000133e-01,5.647999999999998577e-01,5.083980799999999745e-01
6.600000000000000311e-01,5.577999999999998515e-01,5.066816800000000232e-01
6.800000000000000488e-01,5.511999999999999122e-01,5.052428799999999498e-01
7.000000000000000666e-01,5.449999999999998179e-01,5.040499999999999980e-01
7.199999999999999734e-01,5.391999999999999016e-01,5.030732799999999560e-01
7.399999999999999911e-01,5.337999999999998302e-01,5.022848800000000447e-01
7.600000000000000089e-01,5.287999999999999368e-01,5.016588800000000292e-01
7.800000000000000266e-01,5.241999999999998883e-01,5.011712799999999968e-01
8.000000000000000444e-01,5.199999999999999067e-01,5.008000000000000229e-01
8.200000000000000622e-01,5.161999999999998812e-01,5.005248799999999498e-01
8.399999999999999689e-01,5.127999999999999226e-01,5.003276800000000524e-01
8.599999999999999867e-01,5.097999999999999199e-01,5.001920800000000389e-01
8.800000000000000044e-01,5.071999999999998732e-01,5.001036800000000504e-01
9.000000000000000222e-01,5.049999999999998934e-01,5.000499999999999945e-01
9.200000000000000400e-01,5.031999999999998696e-01,5.000204799999999894e-01
9.400000000000000577e-01,5.017999999999999128e-01,5.000064800000000309e-01
9.599999999999999645e-01,5.007999999999999119e-01,5.000012799999999924e-01
9.799999999999999822e-01,5.001999999999998670e-01,5.000000799999999579e-01
1.000000000000000000e+00,4.999999999999998890e-01,5.000000000000000000e-01
