noise_parameter,fidelity,purity
0.000000000000000000e+00,9.999999999999997780e-01,1.000000000000000000e+00
2.000000000000000042e-02,9.949747468305831788e-01,9.902000000000000801e-01
4.000000000000000083e-02,9.898979485566354874e-01,9.807999999999998941e-01
5.999999999999999778e-02,9.847679857416327120e-01,9.717999999999999972e-01
8.000000000000000167e-02,9.795831523312716893e-01,9.632000000000000561e-01
1.000000000000000056e-01,9.743416490252567730e-01,9.550000000000000711e-01
1.199999999999999956e-01,9.690415759823427511e-01,9.472000000000000419e-01
1.400000000000000133e-01,9.636809247747849527e-01,9.397999999999999687e-01
1.600000000000000033e-01,9.582575694955837164e-01,9.327999999999999625e-01
1.799999999999999933e-01,9.527692569068707540e-01,9.262000000000001343e-01
2.000000000000000111e-01,9.472135954999576501e-01,9.199999999999999289e-01
2.200000000000000011e-01,9.415880433163921204e-01,9.141999999999999016e-01
2.399999999999999911e-01,9.358898943540671089e-01,9.087999999999999412e-01
2.600000000000000089e-01,9.301162633521310452e-01,9.037999999999999368e-01
2.800000000000000266e-01,9.242640687119282328e-01,8.991999999999999993e-01
2.999999999999999889e-01,9.183300132670375593e-01,8.949999999999999067e-01
3.200000000000000067e-01,9.123105625617657921e-01,8.911999999999999922e-01
3.400000000000000244e-01,9.062019202317977973e-01,8.878000000000001446e-01
3.599999999999999867e-01,8.999999999999999112e-01,8.848000000000000309e-01
3.800000000000000044e-01,8.937003937005902898e-01,8.821999999999998732e-01
4.000000000000000222e-01,8.872983346207414801e-01,8.799999999999998934e-01
4.199999999999999845e-01,8.807886552931951663e-01,8.782000000000000917e-01
4.400000000000000022e-01,8.741657386773939997e-01,8.768000000000000238e-01
4.600000000000000200e-01,8.674234614174765046e-01,8.757999999999999119e-01
4.799999999999999822e-01,8.605551275463987349e-01,8.751999999999999780e-01
5.000000000000000000e-01,8.535533905932736198e-01,8.750000000000000000e-01
5.200000000000000178e-01,8.464101615137753498e-01,8.752000000000002000e-01
5.400000000000000355e-01,8.391164991562631847e-01,8.758000000000000229e-01
5.600000000000000533e-01,8.316624790355398034e-01,8.768000000000001348e-01
5.799999999999999600e-01,8.240370349203929301e-01,8.782000000000000917e-01
5.999999999999999778e-01,8.162277660168377746e-01,8.800000000000001155e-01
6.199999999999999956e-01,8.082207001484487119e-01,8.822000000000000952e-01
6.400000000000000133e-01,7.999999999999998224e-01,8.848000000000000309e-01
6.600000000000000311e-01,7.915475947422648817e-01,8.878000000000000336e-01
6.800000000000000488e-01,7.828427124746188959e-01,8.912000000000001032e-01
7.000000000000000666e-01,7.738612787525828152e-01,8.950000000000000178e-01
7.199999999999999734e-01,7.645751311064588052e-01,8.991999999999999993e-01
7.399999999999999911e-01,7.549509756796390914e-01,9.038000000000000478e-01
7.600000000000000089e-01,7.449489742783177437e-01,9.088000000000002743e-01
7.800000000000000266e-01,7.345207879911712645e-01,9.141999999999999016e-01
8.000000000000000444e-01,7.236067977499789361e-01,9.200000000000003730e-01
8.200000000000000622e-01,7.121320343559641719e-01,9.262000000000003563e-01
8.399999999999999689e-01,6.999999999999999556e-01,9.328000000000002956e-01
8.599999999999999867e-01,6.870828693386968888e-01,9.397999999999999687e-01
8.800000000000000044e-01,6.732050807568876749e-01,9.472000000000001529e-01
9.000000000000000222e-01,6.581138830084189983e-01,9.550000000000002931e-01
9.200000000000000400e-01,6.414213562373094479e-01,9.632000000000002782e-01
9.400000000000000577e-01,6.224744871391587608e-01,9.718000000000002192e-01
9.599999999999999645e-01,5.999999999999999778e-01,9.807999999999998941e-01
9.799999999999999822e-01,5.707106781186547240e-01,9.901999999999999691e-01
1.000000000000000000e+00,4.999999999999998890e-01,1.000000000000000000e+00
